dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
04Mar2026,C,13Mar2026,9,70.0,78.5999984741211,0.0375,-7.024971002669007,8.55,10.0,0.62305064453125,0.8930228038119958
04Mar2026,C,13Mar2026,9,75.0,78.5999984741211,0.0375,-6.955978131182055,4.125,8.0,0.4692435888671875,0.753539317693429
04Mar2026,C,13Mar2026,9,77.0,78.5999984741211,0.0375,-6.929660822864682,2.515,13.0,0.3645083081054688,0.6569254911799729
04Mar2026,C,13Mar2026,9,78.0,78.5999984741211,0.0375,-6.916757418028774,1.94,203.0,0.3413151806640625,0.574179606367576
04Mar2026,C,13Mar2026,9,79.0,78.5999984741211,0.0375,-6.904018392251344,1.4500000000000002,113.0,0.336920693359375,0.4792574833835376
04Mar2026,C,13Mar2026,9,80.0,78.5999984741211,0.0375,-6.891439610044484,1.0550000000000002,132.0,0.3305731005859375,0.3834828258263568
04Mar2026,C,13Mar2026,9,81.0,78.5999984741211,0.0375,-6.879017090045927,0.68,60.0,0.331061376953125,0.2963964271518264
04Mar2026,C,13Mar2026,9,82.0,78.5999984741211,0.0375,-6.866746997454113,0.48,215.0,0.3222724023437499,0.2138182950823127
04Mar2026,C,13Mar2026,9,83.0,78.5999984741211,0.0375,-6.854625636921768,0.35,50.0,0.3393620751953125,0.164001437699858
04Mar2026,C,13Mar2026,9,84.0,78.5999984741211,0.0375,-6.842649445875052,0.215,3029.0,0.3374089697265625,0.113109690884094
04Mar2026,C,13Mar2026,9,85.0,78.5999984741211,0.0375,-6.830814988228049,0.14,33.0,0.348639326171875,0.0829330981263489
04Mar2026,C,13Mar2026,9,86.0,78.5999984741211,0.0375,-6.819118948464858,0.085,1.0,0.3535220898437499,0.0574665932309637
04Mar2026,C,13Mar2026,9,87.0,78.5999984741211,0.0375,-6.807558126063782,0.055,1.0,0.37500625,0.0465626087486639
